Outside,Outside,Outside,,,,,,,,,,,,,,,,,,,,,,
004,3,Unknown(Elevator/Stair),,338,208,250,,301,202,204,201,,,,,,,,,,,,,
202,3,Unknown(Private Office),,301,,204,004,,,,,,,,,,,,,,,,,
204,3,Unknown(Private Office),,301,,202,208,004,,,,,,,,,,,,,,,,
250,3,Unknown(Open Area),,Outside,004,,,,,,,,,,,,,,,,,,,
208,3,Unknown(Open Area),,Outside,301,214,201,,204,,,,,,,,,,,,,,,
201,3,Unknown(Private Office),,Outside,208,,004,207,,,,,,,,,,,,,,,,
214,3,Unknown(Open Area),,Outside,207,208,216,,,,,,,,,,,,,,,,,
207,3,Unknown(Private Office),,Outside,214,,201,209,,,,,,,,,,,,,,,,
209,3,Unknown(Private Office),,Outside,216,,207,211,,,,,,,,,,,,,,,,
211,3,Unknown(Private Office),,Outside,216,,209,213,,,,,,,,,,,,,,,,
213,3,Unknown(Private Office),,Outside,216,,211,217,,,,,,,,,,,,,,,,
217,3,Unknown(Private Office),,Outside,216,,213,219,,,,,,,,,,,,,,,,
219,3,Unknown(Private Office),,Outside,216,,217,ST1,,,,,,,,,,,,,,,,
ST1,3,Unknown(Elevator/Stair),,226,,219,227,,,,,,,,,,,,,,,,,
223,3,Unknown(Private Office),,Outside,226,,ST1,227,,,,,,,,,,,,,,,,
227,3,Unknown(Private Office),,Outside,226,,223,231,,,,,,,,,,,,,,,,
231,3,Unknown(Private Office),,Outside,226,,227,,,,,,,,,,,,,,,,,
226,3,Unknown(Open Area),,Outside,231,227,223,ST1,,,,,,,,,,,,,,,,
216,3,Unknown(Open Area),,226,219,217,213,211,209,214,,,,,,,,,,,,,,
402,Lower Floor,Unknown(Shared Office),,Outside,007,,308,ST2,309,340,306,,,,,,,,,,,,,
ST2,Lower Floor,Unknown(Elevator/Stair),,007,,402,,,,,,,,,,,,,,,,,,
413,Lower Floor,Unknown(Private Office),,Outside,007,,403,,,,,,,,,,,,,,,,,
403,Lower Floor,Unknown(Private Office),,Outside,007,,413,401,,,,,,,,,,,,,,,,
401,Lower Floor,Unknown(Shared Office),,Outside,007,,403,301,,,,,,,,,,,,,,,,
301,Lower Floor,Unknown(Private Office),,Outside,005,,401,,,,,,,,,,,,,,,,,
005,Lower Floor,Unknown(Entrance),,Outside,301,007,,207,,,,,,,,,,,,,,,,
207,Lower Floor,Unknown(Shared Office),,Outside,003,,005,205,,,,,,,,,,,,,,,,
205,Lower Floor,Unknown(Shared Office),,Outside,003,001,,207,201,,,,,,,,,,,,,,,
001,Lower Floor,Unknown(Private Office),,Outside,205,003,201,,,,,,,,,,,,,,,,,
201,Lower Floor,Unknown(Private Office),,Outside,001,,,,,,,,,,,,,,,,,,,
ST1,Lower Floor,Unknown(Elevator/Stair),,Outside,003,,204,,,,,,,,,,,,,,,,,
204,Lower Floor,Unknown(Shared Office),,Outside,003,,ST1,302,342,341,308,,,,,,,,,,,,,
003,Lower Floor,Unknown(Corridor),,Outside,001,ST1,204,205,207,007,,,,,,,,,,,,,,
007,Lower Floor,Unknown(Corridor),,Outside,ST2,402,306,304,304A,302,005,401,403,413,,,,,,,,,,
306,Lower Floor,Unknown(Private Office),,007,,304,308,402,,,,,,,,,,,,,,,,
340,Lower Floor,Unknown(Private Office),,308,,,,,,,,,,,,,,,,,,,,
309,Lower Floor,Unknown(Private Office),,308,,,,,,,,,,,,,,,,,,,,
341,Lower Floor,Unknown(Private Office),,308,,,,,,,,,,,,,,,,,,,,
342,Lower Floor,Unknown(Private Office),,308,,,,,,,,,,,,,,,,,,,,
312,Lower Floor,Unknown(Elevator/Stair),,308,,,,,,,,,,,,,,,,,,,,
304,Lower Floor,Unknown(Private Office),,007,308,,306,304A,,,,,,,,,,,,,,,,
304A,Lower Floor,Unknown(Private Office),,007,,304,302,308,,,,,,,,,,,,,,,,
302,Lower Floor,Unknown(Private Office),,007,,304A,204,,,,,,,,,,,,,,,,,
